,customer_id,name,gender,age,city,signup_date
0,1,전예민,F,39.0,서울,2025-10-05
1,2,임지혁,M,63.0,대구,2023-09-20
2,3,이예우,F,34.0,서울,2025-01-22
3,4,황정진,M,25.0,울산,2025-03-13
4,5,조성혁,M,26.0,광주,2024-02-10
5,6,임정우,M,27.0,대구,2023-07-21
6,7,한예우,M,31.0,서울,2023-11-13
7,8,송혜미,F,28.0,대구,2026-05-11
8,9,조영성,M,65.0,울산,2025-01-13
9,10,김영빈,F,25.0,성남,2023-08-22
10,11,조예민,M,21.0,대구,2026-01-07
11,12,전수람,M,41.0,울산,2026-03-06
12,13,서지람,F,37.0,부산,2026-07-09
13,14,임서영,F,45.0,대구,2024-01-22
14,15,강수영,M,61.0,광주,2025-05-18
15,16,송채람,F,37.0,서울,2024-02-13
16,17,전진연,M,58.0,광주,2023-07-30
17,18,서하현,M,19.0,대전,2025-08-05
18,19,홍혜원,M,68.0,수원,2025-04-19
19,20,김성희,F,30.0,성남,2025-12-30
20,21,최채윤,M,51.0,인천,2023-08-07
21,22,강영민,F,28.0,부산,2024-06-28
22,23,권은민,F,66.0,부산,2024-03-20
23,24,신수혁,F,41.0,대구,2024-11-06
24,25,송재경,F,35.0,울산,2025-12-11
25,26,권혜혁,F,68.0,대구,2026-01-03
26,27,황정원,F,45.0,부산,2025-11-06
27,28,임민진,F,37.0,인천,2026-05-31
28,29,조하미,M,28.0,서울,2024-06-08
29,30,장서윤,M,63.0,울산,2026-07-15
30,31,전도영,F,18.0,대구,2023-12-24
31,32,전우수,F,25.0,성남,2026-01-31
32,33,권승윤,F,150.0,고양,2025-09-14
33,34,윤승수,M,54.0,광주,2026-06-09
34,35,강승윤,M,38.0,광주,2026-08-11
35,36,이채연,M,32.0,고양,2026-01-30
36,37,최현민,M,33.0,수원,2024-03-17
37,38,권우현,M,62.0,성남,2025-04-09
38,39,신진영,M,28.0,고양,2024-10-25
39,40,이영진,F,21.0,광주,2025-11-04
40,41,서유진,M,41.0,Unknown,2023-10-20
41,42,송혜진,M,36.0,대구,2025-11-24
42,43,안은주,M,39.0,부산,2025-11-16
43,44,장지준,F,68.0,울산,2025-03-10
44,45,신준민,M,48.0,인천,2024-04-02
